codigo,nombre,uuid,created_at,updated_at
101590,ADMINISTRADOR DE REDES,f479769f-541d-4d69-b94a-0b835c7f5d3f,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101565,ADMINISTRADOR II,f4f7e3e1-4584-4e40-8e9f-ff4d97e63a63,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
100235,ADMINISTRADOR IV,4b0e347a-f9cf-471a-9425-6156960b58d1,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
100435,ALMACENISTA JEFE II,c4d3b35f-b930-473b-8793-e82eb6ba9350,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101050,ANALISTA CONTROL PREGRADO,33799615-19a8-4bd7-9258-0c1ca270d1e0,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
100230,ANALISTA DE ORG. Y METODOS I,21f403f1-e947-4191-b57d-3f7a90d3f9c6,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
100440,ANALISTA DE PERSONAL I,03deb34b-e1dd-4b69-876a-f1ae72971617,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
100770,ANALISTA DE PERSONAL II,c6b4932d-1d95-47aa-9d6b-c124040d0361,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101225,ANALISTA DE PERSONAL III,1a4e1bff-923f-4b9b-b59a-e7101398fcaa,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101640,ANALISTA DE PERSONAL IV,9e0ee252-b208-4931-8856-c63fe403acb2,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
100780,ANALISTA DE PRESUPUESTO I,f98c9265-42ef-4f71-b074-10491f154e5e,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101465,ANALISTA DE PRESUPUESTO III,d9327891-5cd8-4df8-8bf8-1282d1db973e,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101555,ANALISTA DE RELACIONES LABORALES,ec78bbcd-9e30-46c8-b085-8d37797711ea,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101515,ANALISTA PROC. DE DATOS,e65a74f0-f0a7-49cd-a4dc-8589c5880356,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
100920,ANALISTA PROCES DATOS I,cf8426e2-e7e6-4f8b-bfb4-501b6271469d,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101545,ANALISTA PROGRAMADOR,ddaf8d04-db00-4626-b74e-90e17405c0e4,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101290,INSTRUCTOR ARTESANAL,3e8609a8-28b4-49e5-9c1c-21339e4e8b52,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
100025,ASESOR PROGRAMAS PROY. INSTIT,200cac2b-0412-4d8d-9b81-d433ddc2fdad,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101450,ASIST DE ING.III,4aab2876-606c-43be-9cc1-61a4a281ca56,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
101495,ASISTENTE ADMINSTRATIVO I,7409776f-edbf-41ac-9fe6-c93855ddc458,2024-01-19 11:59:27.776371+00,2024-01-19 11:59:27.776371+00
